,ingredients,Count
1287,羊血,2
1288,羊蹄,5
1289,羊里脊肉,10
1290,羊骨,2
1291,美人椒,1
1292,美极鲜味汁,1
1293,老冰糖,1
1294,老卤汤,1
1295,老姜,16
1296,老姜肉姜黄姜,1
1297,老干妈,4
1298,老干妈油辣椒酱,1
1299,老干妈豆豉酱,1
1300,老干妈辣三丁,1
1301,老抽,553
1302,老抽t,1
1303,老抽上色,1
1304,老抽秘制酱,1
1305,老水鸭,1
1306,老豆腐,1
1307,老酒,1
1308,老酵面,1
1309,老陈醋,2
1310,老面,2
1311,老黄瓜,1
1312,耐干烧砂锅,1
1313,耗油,15
1314,肉,3
1315,肉丝,5
1316,肉丸,14
1317,肉寇,1
1318,肉末,6
1319,肉松,8
1320,肉桂,16
1321,肉桂粉,17
1322,肉汤,2
1323,肉沫,3
